0.00,-27.00,-157.00,10.00,51218
0,0,-17.00,-139.00,12.00,59133
0,0,-11.00,-147.00,36.00,59157
0,0,-31.00,-143.00,24.00,59181
0,0,-17.00,-149.00,6.00,59204
0,0,-29.00,-161.00,12.00,59228
0,0,-15.00,-141.00,36.00,59251
0,0,-17.00,-149.00,26.00,59275
0,0,-1.00,-153.00,28.00,59298
0,0,-33.00,-155.00,-2.00,59321
0,0,-29.00,-155.00,8.00,59345
0,0,-15.00,-151.00,34.00,59389
0,0,9.00,-143.00,8.00,59412
0,0,-15.00,-135.00,12.00,59436
0,0,-17.00,-157.00,0.00,59459
0,0,-3.00,-153.00,46.00,59483
0,0,-13.00,-153.00,22.00,59506
0,0,-9.00,-145.00,2.00,59529
0,0,-27.00,-147.00,-4.00,59553
0,0,591.00,-89.00,662.00,59576
0,0,371.00,65.00,-130.00,59599
0,0,381.00,-223.00,-40.00,59623
0,0,369.00,281.00,482.00,59646
0,0,85.00,109.00,222.00,59669
0.00,0.00,45.00,-633.00,-434.00,59775
0.00,0.00,-9.00,17.00,-134.00,59840
0.00,0.00,1.00,-13.00,332.00,59905
0.00,0.00,-111.00,-77.00,-218.00,59971
0.00,0.00,87.00,59.00,320.00,60036
0.00,0.00,-123.00,-503.00,-494.00,60102
0.00,0.00,-89.00,73.00,82.00,60167
0.00,0.00,-77.00,65.00,86.00,60232
0.00,0.00,-43.00,-153.00,-38.00,60297
0.00,0.00,-13.00,-217.00,66.00,60363
0,0,3.00,-175.00,22.00,60386
0,0,-33.00,-143.00,6.00,60410
0,0,-7.00,-121.00,14.00,60433
0,0,-19.00,-137.00,20.00,60457
0,0,-13.00,-155.00,14.00,60480
0,0,-23.00,-167.00,10.00,60503
0,0,-5.00,-159.00,24.00,60527
0,0,-29.00,-175.00,16.00,60550
0,0,-13.00,-137.00,6.00,60573
0,0,-29.00,-137.00,8.00,60596
0,0,-11.00,-151.00,-4.00,60619
0,0,-23.00,-165.00,12.00,60643
0,0,-15.00,-155.00,16.00,60666
0,0,-25.00,-155.00,18.00,60689
0,0,-15.00,-137.00,16.00,60712
0,0,-25.00,-159.00,16.00,60735
0,0,-15.00,-155.00,8.00,60759
0,0,-15.00,-153.00,20.00,60782
0,0,-31.00,-163.00,28.00,60805
0,0,-7.00,-153.00,-6.00,60829
0,0,-1.00,-161.00,-4.00,60852
0,0,-11.00,-165.00,30.00,60876
0,0,-13.00,-157.00,32.00,60899
0,0,-21.00,-159.00,-8.00,60922
0,0,-21.00,-167.00,16.00,60946
0,0,-15.00,-149.00,4.00,60969
0,0,-13.00,-153.00,12.00,60993
0,0,-17.00,-151.00,16.00,61017
0,0,11.00,-157.00,12.00,61040
0,0,-11.00,-147.00,10.00,61064
0,0,-9.00,-153.00,12.00,61087
0,0,-33.00,-147.00,16.00,61111
0,0,-35.00,-151.00,14.00,61134
0,0,-23.00,-163.00,24.00,61158
0,0,-19.00,-149.00,16.00,61181
0,0,-11.00,-159.00,8.00,61205
0,0,-15.00,-157.00,24.00,61228
0,0,-17.00,-163.00,32.00,61251
0,0,-33.00,-161.00,-4.00,61275
0,0,-35.00,-157.00,16.00,61298
0,0,-23.00,-161.00,28.00,61321
0,0,-13.00,-167.00,20.00,61345
0,0,-21.00,-137.00,22.00,61369
0,0,-11.00,-151.00,32.00,61392
0,0,-25.00,-153.00,4.00,61415
0,0,-9.00,-151.00,-4.00,61439
0,0,-19.00,-155.00,22.00,61462
0,0,-15.00,-171.00,28.00,61486
0,0,-19.00,-161.00,24.00,61509
0,0,-15.00,-151.00,24.00,61532
0,0,-17.00,-153.00,18.00,61556
0,0,-13.00,-153.00,22.00,61579
0,0,-21.00,-145.00,32.00,61603
0,0,-11.00,-173.00,18.00,61626
0,0,-15.00,-157.00,18.00,61650
0,0,-33.00,-155.00,16.00,61674
0,0,-13.00,-139.00,24.00,61697
0,0,-5.00,-161.00,12.00,61721
0,0,-9.00,-179.00,8.00,61744
0,0,-7.00,-145.00,36.00,61767
0,0,-19.00,-147.00,24.00,61791
0,0,-13.00,-157.00,4.00,61814
0,0,-7.00,-147.00,8.00,61838
0,0,-13.00,-143.00,-8.00,61861
0,0,-25.00,-161.00,22.00,61885
0,0,-3.00,-153.00,26.00,61929
0,0,-27.00,-143.00,28.00,61952
0,0,-29.00,-165.00,24.00,61975
0,0,-19.00,-157.00,14.00,61999
0,0,-15.00,-145.00,18.00,62022
0,0,-11.00,-149.00,12.00,62045
0,0,-15.00,-149.00,4.00,62069
0,0,-5.00,-145.00,2.00,62093
0,0,-19.00,-141.00,22.00,62116
0,0,-9.00,-159.00,12.00,62140
0,0,-159.00,-257.00,-266.00,62163
0,0,-473.00,-181.00,-136.00,62187
0,0,-569.00,-95.00,374.00,62210
0,0,-177.00,-385.00,-106.00,62253
0,0,-169.00,-223.00,-64.00,62276
0,0,-199.00,53.00,204.00,62300
0,0,111.00,-153.00,42.00,62323
0,0,43.00,335.00,470.00,62346
0,0,155.00,-245.00,-48.00,62369
0,0,93.00,231.00,40.00,62392
0,0,-251.00,-109.00,8.00,62415
0,0,-339.00,-213.00,142.00,62438
0,0,175.00,-407.00,12.00,62461
0,0,3.00,-231.00,110.00,62485
0,0,433.00,-291.00,346.00,62508
0,0,149.00,-191.00,-96.00,62531
0.00,0.00,105.00,-271.00,-152.00,62636
0.00,0.00,325.00,-289.00,-208.00,62701
0.00,0.00,-15.00,-259.00,164.00,62766
0.00,0.00,75.00,-243.00,-40.00,62831
0.00,0.00,-23.00,-129.00,-24.00,62897
0.00,0.00,-11.00,-141.00,26.00,62962
0.00,0.00,-15.00,-153.00,28.00,63028
0.00,0.00,-11.00,-155.00,26.00,63093
0.00,0.00,-9.00,-145.00,22.00,63159
0.00,0.00,-29.00,-145.00,26.00,63244
0,0,-27.00,-141.00,26.00,63267
0,0,-11.00,-163.00,24.00,63290
0,0,1.00,-151.00,16.00,63313
0,0,-11.00,-161.00,44.00,63337
0,0,-37.00,-159.00,16.00,63360
0,0,-11.00,-147.00,-6.00,63384
0,0,-13.00,-135.00,8.00,63407
0,0,-1.00,-147.00,48.00,63431
0,0,-11.00,-157.00,-2.00,63455
0,0,-5.00,-161.00,2.00,63498
0,0,5.00,-143.00,4.00,63521
0,0,-13.00,-135.00,4.00,63544
0,0,-17.00,-143.00,24.00,63567
0,0,-21.00,-151.00,18.00,63590
0,0,-27.00,-153.00,34.00,63613
0,0,-23.00,-143.00,14.00,63637
0,0,-9.00,-159.00,4.00,63660
0,0,-23.00,-135.00,22.00,63683
0,0,-37.00,-161.00,12.00,63706
0,0,-21.00,-161.00,-10.00,63729
0,0,-15.00,-155.00,6.00,63752
0,0,-25.00,-147.00,22.00,63775
0,0,-25.00,-155.00,22.00,63799
0,0,-35.00,-145.00,12.00,63822
0,0,-25.00,-157.00,26.00,63845
0,0,-27.00,-143.00,24.00,63869
0,0,-17.00,-165.00,44.00,63893
0,0,-3.00,-147.00,28.00,63916
0,0,-23.00,-155.00,10.00,63940
0,0,-17.00,-135.00,16.00,63963
0,0,-19.00,-145.00,12.00,63987
0,0,-13.00,-139.00,16.00,64010
0,0,-21.00,-165.00,24.00,64033
0,0,-13.00,-145.00,-2.00,64057
0,0,-21.00,-151.00,10.00,64081
0,0,-15.00,-139.00,0.00,64104
0,0,-3.00,-155.00,22.00,64148
0,0,-23.00,-149.00,34.00,64171
0,0,-23.00,-153.00,10.00,64195
0,0,-15.00,-155.00,22.00,64218
0,0,-27.00,-149.00,8.00,64242
0,0,5.00,-143.00,18.00,64265
0,0,-23.00,-163.00,14.00,64289
0,0,-23.00,-155.00,34.00,64312
0,0,-23.00,-151.00,30.00,64335
0,0,-9.00,-151.00,14.00,64359
0,0,-11.00,-153.00,26.00,64383
0,0,-13.00,-145.00,14.00,64406
0,0,-9.00,-141.00,4.00,64430
0,0,-7.00,-155.00,22.00,64453
0,0,-23.00,-165.00,14.00,64477
0,0,-21.00,-147.00,18.00,64500
0,0,-11.00,-157.00,14.00,64523
0,0,-23.00,-145.00,6.00,64547
0,0,-43.00,-155.00,22.00,64571
0,0,-19.00,-159.00,16.00,64594
0,0,-15.00,-161.00,18.00,64617
0,0,-13.00,-147.00,20.00,64640
0,0,-23.00,-147.00,20.00,64663
0,0,-31.00,-155.00,18.00,64687
0,0,-7.00,-147.00,18.00,64710
0,0,-21.00,-163.00,0.00,64733
0,0,559.00,-143.00,420.00,64756
0,0,533.00,199.00,-192.00,64780
0,0,253.00,-63.00,206.00,64804
0,0,385.00,-195.00,166.00,64827
0,0,269.00,-47.00,360.00,64851
0,0,1.00,109.00,240.00,64874
0,0,-245.00,67.00,-12.00,64898
0,0,-57.00,-125.00,256.00,64922
0,0,-301.00,37.00,244.00,64945
0,0,159.00,-345.00,-4.00,64969
0,0,385.00,141.00,246.00,64992
0,0,55.00,-9.00,128.00,65016
0,0,-285.00,53.00,-384.00,65039
0,0,41.00,-141.00,-140.00,65063
0,0,-231.00,39.00,264.00,65087
0,0,47.00,-255.00,170.00,65110
0,0,227.00,-295.00,326.00,65133
0,0,113.00,-145.00,66.00,65157
0,0,-323.00,-135.00,-152.00,65181
0,0,305.00,-1635.00,-1246.00,65204
0,0,-5.00,215.00,592.00,65228
0,0,-339.00,135.00,352.00,65251
0,0,-203.00,-985.00,372.00,65275
0,0,-501.00,-209.00,-30.00,65298
0,0,-337.00,-13.00,320.00,65322
0,0,-263.00,217.00,174.00,65345
0,0,101.00,21.00,-86.00,65369
0,0,-145.00,-19.00,-28.00,65392
0,0,37.00,17.00,10.00,65415
0.00,0.00,-7.00,-203.00,8.00,65501
0.00,0.00,7.00,-183.00,12.00,65566
0.00,0.00,-21.00,-99.00,30.00,65631
0.00,0.00,-33.00,-125.00,6.00,65697
0.00,0.00,-25.00,-161.00,8.00,65762
0.00,0.00,-27.00,-151.00,8.00,65827
0.00,0.00,-23.00,-151.00,28.00,65893
0.00,0.00,-7.00,-161.00,-10.00,65958
0.00,0.00,-33.00,-145.00,16.00,66023
0.00,0.00,-25.00,-151.00,26.00,66109
0,0,-7.00,-147.00,6.00,66133
0,0,-19.00,-147.00,10.00,66156
0,0,-25.00,-147.00,20.00,66179
0,0,-13.00,-155.00,22.00,66202
0,0,-23.00,-153.00,22.00,66225
0,0,-23.00,-167.00,0.00,66248
0,0,-27.00,-147.00,22.00,66271
0,0,-35.00,-137.00,12.00,66294
0,0,-3.00,-157.00,24.00,66317
0,0,-7.00,-151.00,26.00,66361
0,0,-5.00,-139.00,4.00,66384
0,0,-29.00,-141.00,16.00,66407
0,0,-41.00,-137.00,4.00,66431
0,0,9.00,-159.00,26.00,66454
0,0,-25.00,-141.00,28.00,66478
0,0,-25.00,-149.00,30.00,66502
0,0,-27.00,-155.00,4.00,66525
0,0,-5.00,-145.00,30.00,66549
0,0,-9.00,-141.00,36.00,66572
0,0,-9.00,-147.00,6.00,66596
0,0,-19.00,-145.00,-8.00,66620
0,0,-23.00,-161.00,30.00,66643
0,0,-11.00,-155.00,0.00,66687
0,0,-35.00,-161.00,20.00,66710
0,0,-11.00,-147.00,-10.00,66734
0,0,-31.00,-157.00,16.00,66757
0,0,-17.00,-163.00,26.00,66781
0,0,-17.00,-157.00,0.00,66804
0,0,-23.00,-159.00,12.00,66828
0,0,-9.00,-145.00,12.00,66851
0,0,-23.00,-151.00,22.00,66875
0,0,-21.00,-147.00,22.00,66898
0,0,-11.00,-157.00,12.00,66922
0,0,-23.00,-143.00,28.00,66945
0,0,-35.00,-161.00,2.00,66968
0,0,-37.00,-161.00,4.00,67012
0,0,-35.00,-141.00,-12.00,67036
0,0,-27.00,-155.00,20.00,67059
0,0,-25.00,-165.00,18.00,67082
0,0,-17.00,-161.00,20.00,67106
0,0,-21.00,-157.00,16.00,67129
0,0,-31.00,-157.00,2.00,67153
0,0,-21.00,-155.00,22.00,67176
0,0,-15.00,-151.00,18.00,67200
0,0,-21.00,-143.00,14.00,67223
0,0,-1.00,-149.00,14.00,67247
0,0,-17.00,-147.00,10.00,67270
0,0,-27.00,-141.00,16.00,67294
0,0,-581.00,-295.00,-280.00,67337
0,0,-393.00,-113.00,76.00,67361
0,0,-365.00,-315.00,164.00,67384
0,0,-307.00,-285.00,44.00,67407
0,0,291.00,-63.00,144.00,67431
0,0,-167.00,-459.00,-186.00,67454
0,0,31.00,111.00,320.00,67478
0,0,-201.00,67.00,384.00,67501
0,0,-9.00,-483.00,-404.00,67525
0,0,403.00,-123.00,330.00,67548
0,0,-149.00,-161.00,-154.00,67572
0,0,-67.00,-183.00,-296.00,67596
0,0,33.00,7.00,258.00,67619
0,0,119.00,-167.00,208.00,67663
