si,pga,x,y,z,time
0.0,0.0,0.0,8.0,1.0,40655
0.0,0.0,-22.0,0.0,5.0,40679
0.0,0.0,2.0,-2.0,25.0,40702
0.0,0.0,14.0,14.0,25.0,40725
0.0,0.0,-10.0,-20.0,13.0,40748
0.0,0.0,-18.0,14.0,23.0,40771
0.0,0.0,-8.0,10.0,-11.0,40794
0.0,0.0,2.0,16.0,31.0,40818
0.0,0.0,-26.0,-26.0,9.0,40841
0.0,0.0,-2.0,6.0,-13.0,40864
0.0,0.0,-16.0,-4.0,13.0,40887
0.0,0.0,2.0,-6.0,5.0,40911
0.0,0.0,-12.0,0.0,19.0,40934
0.0,0.0,-4.0,10.0,-11.0,40957
0.0,0.0,-22.0,0.0,3.0,40980
0.0,0.0,-2.0,10.0,15.0,41003
0.0,0.0,4.0,30.0,-9.0,41026
0.0,0.0,-10.0,2.0,-27.0,41049
0.0,0.0,-2.0,30.0,-1.0,41072
0.0,0.0,-18.0,8.0,-1.0,41095
0.0,0.0,-22.0,8.0,3.0,41118
0.0,0.0,14.0,20.0,-17.0,41141
0.0,0.0,-18.0,4.0,-3.0,41164
0.0,0.0,-4.0,4.0,-3.0,41187
0.0,0.0,-14.0,2.0,-7.0,41211
0.0,0.0,-14.0,-20.0,-1.0,41234
0.0,0.0,4.0,4.0,-1.0,41257
0.0,0.0,8.0,8.0,5.0,41280
0.0,0.0,6.0,20.0,-19.0,41303
0.0,0.0,-6.0,12.0,-1.0,41326
0.0,0.0,16.0,28.0,11.0,41349
0.0,0.0,-24.0,-8.0,-1.0,41372
0.0,0.0,6.0,18.0,-3.0,41395
0.0,0.0,-4.0,0.0,3.0,41418
0.0,0.0,-6.0,28.0,-15.0,41441
0.0,0.0,18.0,-8.0,21.0,41465
0.0,0.0,-14.0,32.0,7.0,41488
0.0,0.0,0.0,0.0,3.0,41511
0.0,0.0,14.0,36.0,5.0,41534
0.0,0.0,6.0,12.0,9.0,41557
0.0,0.0,10.0,4.0,5.0,41580
0.0,0.0,-12.0,24.0,-3.0,41603
0.0,0.0,32.0,16.0,3.0,41626
0.0,0.0,-10.0,8.0,-5.0,41649
0.0,0.0,-6.0,26.0,-13.0,41672
0.0,0.0,14.0,14.0,7.0,41695
0.0,0.0,-6.0,12.0,3.0,41718
0.0,0.0,-12.0,8.0,25.0,41741
0.0,0.0,22.0,8.0,-9.0,41764
0.0,0.0,2.0,10.0,13.0,41787
0.0,0.0,-8.0,20.0,-9.0,41810
0.0,0.0,2.0,4.0,-1.0,41833
0.0,0.0,4.0,10.0,-9.0,41856
0.0,0.0,4.0,8.0,9.0,41879
0.0,0.0,18.0,12.0,23.0,41903
0.0,0.0,-6.0,20.0,-3.0,41926
0.0,0.0,12.0,-14.0,13.0,41949
0.0,0.0,6.0,-32.0,15.0,41972
0.0,0.0,10.0,6.0,3.0,41996
0.0,0.0,8.0,-12.0,13.0,42019
0.0,0.0,10.0,36.0,21.0,42043
0.0,0.0,10.0,10.0,-5.0,42066
0.0,0.0,14.0,-18.0,1.0,42089
0.0,0.0,-2.0,18.0,23.0,42112
0.0,0.0,20.0,4.0,-5.0,42135
0.0,0.0,-2.0,2.0,19.0,42158
0.0,0.0,14.0,-4.0,-11.0,42181
0.0,0.0,26.0,-6.0,15.0,42205
0.0,0.0,0.0,-2.0,1.0,42228
0.0,0.0,-4.0,-40.0,5.0,42251
0.0,0.0,16.0,-18.0,3.0,42274
0.0,0.0,20.0,0.0,-7.0,42297
0.0,0.0,4.0,-4.0,9.0,42320
0.0,0.0,30.0,40.0,15.0,42343
0.0,0.0,-18.0,-34.0,11.0,42367
0.0,0.0,6.0,6.0,3.0,42390
0.0,0.0,20.0,18.0,-5.0,42413
0.0,0.0,2.0,-16.0,17.0,42436
0.0,0.0,14.0,14.0,-13.0,42459
0.0,0.0,8.0,-28.0,7.0,42483
0.0,0.0,6.0,-2.0,5.0,42506
0.0,0.0,24.0,4.0,7.0,42529
0.0,0.0,-10.0,-48.0,-15.0,42552
0.0,0.0,20.0,20.0,-13.0,42575
0.0,0.0,0.0,-10.0,11.0,42599
0.0,0.0,-24.0,8.0,-5.0,42622
0.0,0.0,22.0,-30.0,25.0,42645
0.0,0.0,-20.0,-6.0,1.0,42668
0.0,0.0,18.0,-30.0,13.0,42692
0.0,0.0,-18.0,-26.0,1.0,42715
0.0,0.0,14.0,-4.0,-1.0,42738
0.0,0.0,-24.0,-36.0,29.0,42761
0.0,0.0,12.0,6.0,-27.0,42784
0.0,0.0,-2.0,-20.0,25.0,42808
0.0,0.0,-28.0,16.0,-15.0,42831
0.0,0.0,4.0,-42.0,27.0,42854
0.0,0.0,-10.0,6.0,-3.0,42877
0.0,0.0,2.0,-24.0,-171.0,42901
0.0,0.0,-12.0,22.0,21.0,42924
0.0,0.0,-16.0,-20.0,-3.0,42947
0.0,0.0,-14.0,-10.0,21.0,42970
0.0,0.0,-44.0,10.0,-33.0,42994
0.0,0.0,10.0,-50.0,51.0,43017
0.0,0.0,-20.0,20.0,-45.0,43040
0.0,0.0,-2.0,-40.0,13.0,43063
0.0,0.0,-18.0,40.0,-5.0,43086
0.0,0.0,-24.0,-18.0,-5.0,43109
0.0,0.0,14.0,14.0,-1.0,43133
0.0,0.0,-40.0,-34.0,-9.0,43156
0.0,0.0,4.0,48.0,-9.0,43179
0.0,0.0,-52.0,-54.0,-5.0,43202
0.0,0.0,10.0,44.0,19.0,43225
0.0,0.0,-40.0,-48.0,7.0,43249
0.0,0.0,26.0,48.0,-1.0,43272
0.0,0.0,-44.0,-44.0,-1.0,43295
0.0,0.0,12.0,10.0,7.0,43319
0.0,0.0,-56.0,4.0,-3.0,43342
0.0,0.0,6.0,14.0,-1.0,43365
0.0,0.0,-18.0,46.0,-5.0,43388
0.0,0.0,-16.0,-16.0,-1.0,43412
0.0,0.0,2.0,32.0,-9.0,43435
0.0,0.0,-40.0,-30.0,-15.0,43459
0.0,0.0,-12.0,8.0,-21.0,43482
0.0,0.0,-22.0,26.0,-11.0,43505
0.0,0.0,-6.0,4.0,-1.0,43528
0.0,0.0,-8.0,26.0,-23.0,43551
0.0,0.0,-18.0,0.0,-15.0,43575
0.0,0.0,22.0,32.0,-3.0,43598
0.0,0.0,-36.0,-24.0,-19.0,43621
0.0,0.0,28.0,32.0,1.0,43644
0.0,0.0,-18.0,42.0,13.0,43667
0.0,0.0,14.0,34.0,15.0,43690
0.0,0.0,-22.0,32.0,27.0,43713
0.0,0.0,22.0,20.0,-1.0,43736
