0.00,19.00,-131.00,8.00,396779
0,0,49.00,121.00,186.00,404086
0,0,-31.00,-115.00,66.00,404110
0,0,-249.00,-189.00,-56.00,404133
0,0,101.00,-293.00,6.00,404157
0,0,99.00,-43.00,268.00,404180
0,0,-65.00,17.00,134.00,404203
0,0,5.00,-723.00,-740.00,404227
0,0,121.00,-85.00,-66.00,404251
0,0,-105.00,-611.00,-316.00,404274
0,0,-189.00,-419.00,-334.00,404298
0,0,237.00,-679.00,-264.00,404321
0,0,121.00,463.00,582.00,404345
0,0,181.00,-167.00,176.00,404389
0,0,-141.00,721.00,564.00,404412
0,0,-245.00,-511.00,-368.00,404436
0,0,373.00,-387.00,-520.00,404459
0,0,55.00,365.00,434.00,404483
0,0,293.00,599.00,-372.00,404506
0,0,645.00,97.00,-196.00,404529
0,0,111.00,-343.00,146.00,404553
0,0,-87.00,49.00,-6.00,404576
0,0,-1.00,-155.00,6.00,404600
0,0,15.00,-193.00,32.00,404624
0,0,-25.00,-201.00,78.00,404647
0,0,-5.00,-179.00,38.00,404671
0,0,-21.00,-173.00,26.00,404715
0,0,1201.00,97.00,-88.00,404738
0,0,343.00,-9.00,-194.00,404761
0,0,355.00,-211.00,36.00,404785
0,0,409.00,-883.00,-572.00,404808
0,0,117.00,183.00,602.00,404831
0,0,-81.00,149.00,-66.00,404855
0,0,-261.00,7.00,28.00,404878
0,0,113.00,193.00,420.00,404902
0,0,21.00,-345.00,-128.00,404925
0,0,-17.00,-19.00,30.00,404949
0,0,185.00,269.00,132.00,404972
0,0,-67.00,63.00,72.00,404995
0,0,-411.00,-25.00,116.00,405038
0,0,-109.00,-815.00,-696.00,405061
0,0,199.00,-287.00,34.00,405085
0,0,265.00,187.00,444.00,405108
0,0,-81.00,-339.00,-272.00,405132
0,0,-283.00,-135.00,-156.00,405156
0,0,-55.00,275.00,468.00,405179
0,0,25.00,-345.00,-164.00,405202
0,0,105.00,-653.00,-218.00,405226
0,0,-323.00,-271.00,-94.00,405250
0,0,-195.00,561.00,858.00,405273
0,0,-165.00,-1.00,-90.00,405297
0,0,-415.00,-135.00,540.00,405320
0.00,0.00,-47.00,-47.00,-10.00,405426
0.00,0.00,-25.00,-131.00,-16.00,405491
0.00,0.00,-21.00,-237.00,112.00,405557
0.00,0.00,111.00,71.00,-14.00,405623
0.00,0.00,-277.00,-585.00,266.00,405688
0.00,0.00,-83.00,-83.00,94.00,405754
0.00,0.00,-73.00,-69.00,312.00,405819
0.00,0.00,-23.00,-367.00,-106.00,405885
0.00,0.00,33.00,507.00,434.00,405950
0.00,0.00,211.00,-663.00,-654.00,406056
0,0,265.00,-707.00,1132.00,406080
0,0,365.00,-137.00,406.00,406103
0,0,-185.00,-153.00,110.00,406127
0,0,113.00,-185.00,-10.00,406150
0,0,-1.00,-91.00,66.00,406174
0,0,-49.00,-81.00,6.00,406197
0,0,-21.00,-85.00,-24.00,406221
0,0,-71.00,-121.00,32.00,406244
0,0,-25.00,-161.00,16.00,406288
0,0,-21.00,-147.00,-6.00,406312
0,0,3.00,-229.00,16.00,406335
0,0,-23.00,-135.00,4.00,406359
0,0,-43.00,-155.00,14.00,406382
0,0,-17.00,-139.00,8.00,406405
0,0,-23.00,-105.00,42.00,406429
0,0,-33.00,-139.00,16.00,406452
0,0,-15.00,-175.00,6.00,406476
0,0,-13.00,-125.00,10.00,406499
0,0,-15.00,-119.00,26.00,406522
0,0,-23.00,-121.00,26.00,406546
0,0,-25.00,-147.00,-20.00,406569
0,0,-19.00,-139.00,10.00,406592
0,0,-21.00,-133.00,24.00,406616
0,0,-25.00,-133.00,38.00,406639
0,0,-9.00,-135.00,14.00,406663
0,0,-9.00,-137.00,24.00,406686
0,0,-25.00,-143.00,20.00,406710
0,0,-21.00,-153.00,38.00,406734
0,0,-3.00,-157.00,8.00,406757
0,0,-25.00,-139.00,34.00,406780
0,0,-15.00,-137.00,16.00,406804
0,0,-11.00,-129.00,22.00,406827
0,0,-25.00,-163.00,16.00,406850
0,0,-9.00,-155.00,26.00,406873
0,0,-13.00,-123.00,16.00,406897
0,0,-17.00,-123.00,38.00,406920
0,0,-21.00,-139.00,4.00,406943
0,0,-17.00,-147.00,2.00,406967
0,0,-17.00,-141.00,30.00,406990
0,0,-29.00,-135.00,26.00,407014
0,0,-19.00,-147.00,30.00,407037
0,0,-25.00,-155.00,8.00,407060
0,0,-9.00,-131.00,20.00,407083
0,0,-19.00,-117.00,12.00,407106
0,0,-11.00,-137.00,46.00,407129
0,0,-31.00,-143.00,18.00,407152
0,0,1.00,-143.00,18.00,407176
0,0,1.00,-139.00,20.00,407200
0,0,-3.00,-125.00,16.00,407223
0,0,-15.00,-133.00,16.00,407266
0,0,-25.00,-143.00,16.00,407289
0,0,-17.00,-127.00,24.00,407312
0,0,-25.00,-119.00,18.00,407335
0,0,-9.00,-133.00,24.00,407359
0,0,-3.00,-135.00,4.00,407382
0,0,-31.00,-135.00,30.00,407405
0,0,-21.00,-131.00,-6.00,407428
0,0,-27.00,-143.00,34.00,407452
0,0,-23.00,-143.00,18.00,407475
0,0,-25.00,-135.00,28.00,407498
0,0,-9.00,-141.00,14.00,407521
0,0,-5.00,-139.00,32.00,407544
0,0,-15.00,-147.00,26.00,407567
0,0,-19.00,-147.00,8.00,407590
0,0,-21.00,-129.00,32.00,407613
0,0,-17.00,-133.00,8.00,407636
0,0,-23.00,-135.00,10.00,407659
0,0,-19.00,-137.00,22.00,407682
0,0,-3.00,-153.00,32.00,407705
0,0,-7.00,-129.00,16.00,407728
0,0,1.00,-129.00,16.00,407751
0,0,-33.00,-143.00,8.00,407774
0,0,-25.00,-145.00,18.00,407797
0,0,-13.00,-147.00,40.00,407821
0,0,-21.00,-145.00,22.00,407844
0,0,-31.00,-137.00,14.00,407867
0,0,-27.00,-123.00,6.00,407890
0,0,3.00,-139.00,6.00,407913
0,0,-19.00,-133.00,28.00,407936
0,0,-5.00,-137.00,16.00,407960
0,0,-13.00,-137.00,2.00,407983
0,0,-19.00,-143.00,22.00,408006
0,0,-15.00,-153.00,36.00,408029
0,0,-11.00,-133.00,20.00,408053
0,0,-13.00,-131.00,38.00,408076
0,0,-9.00,-133.00,8.00,408099
0,0,3.00,-127.00,24.00,408123
0,0,-9.00,-147.00,14.00,408146
0,0,-13.00,-135.00,0.00,408170
0,0,-23.00,-149.00,20.00,408193
0,0,-31.00,-133.00,18.00,408217
0,0,-17.00,-141.00,24.00,408240
0.00,0.00,-7.00,-133.00,26.00,408528
0.00,0.00,-23.00,-127.00,10.00,408594
0.00,0.00,-25.00,-141.00,24.00,408659
0.00,0.00,-3.00,-149.00,20.00,408725
0.00,0.00,-25.00,-151.00,26.00,408790
0.00,0.00,-17.00,-139.00,12.00,408856
0.00,0.00,-31.00,-153.00,38.00,408922
0.00,0.00,-23.00,-145.00,32.00,408988
0.00,0.00,-23.00,-131.00,24.00,409054
0.00,0.00,-27.00,-139.00,40.00,409140
0,0,-11.00,-135.00,22.00,409164
0,0,-11.00,-147.00,48.00,409187
0,0,-19.00,-131.00,22.00,409211
0,0,-7.00,-145.00,22.00,409234
0,0,-21.00,-145.00,-16.00,409258
0,0,-3.00,-141.00,6.00,409282
0,0,-13.00,-141.00,-12.00,409305
0,0,-31.00,-137.00,20.00,409329
0,0,-7.00,-137.00,4.00,409352
0,0,-31.00,-153.00,46.00,409376
0,0,-31.00,-119.00,12.00,409400
0,0,-19.00,-133.00,8.00,409424
0,0,-9.00,-143.00,10.00,409449
0,0,-31.00,-135.00,26.00,409473
0,0,-19.00,-149.00,2.00,409497
0,0,-19.00,-137.00,48.00,409521
0,0,-25.00,-131.00,32.00,409545
0,0,-21.00,-133.00,16.00,409569
0,0,-21.00,-141.00,12.00,409593
0,0,-17.00,-133.00,26.00,409617
0,0,-15.00,-101.00,12.00,409641
0,0,3.00,-129.00,30.00,409665
0,0,-27.00,-165.00,30.00,409689
0,0,-27.00,-135.00,16.00,409713
0,0,-3.00,-139.00,44.00,409737
0,0,-29.00,-141.00,44.00,409761
0,0,-11.00,-141.00,12.00,409785
0,0,-3.00,-151.00,34.00,409809
0,0,-13.00,-149.00,10.00,409833
0,0,-27.00,-139.00,36.00,409856
0,0,-3.00,-139.00,-4.00,409880
0,0,-5.00,-127.00,12.00,409903
0,0,-5.00,-143.00,26.00,409927
0,0,-21.00,-137.00,12.00,409950
0,0,-25.00,-133.00,26.00,409974
