id,value,feed_id,created_at,lat,lon,ele
0FFNEDGS7N16Y93FV77H0V96A1,0.54,2699863,2023-12-20 22:11:41 UTC,,,
0FFNEDJPGBEBYC2T7BY1EJ19X2,0.75,2699863,2023-12-20 22:11:47 UTC,,,
0FFNEDMKZZ0QPXAR9HM8JCC7GR,3.49,2699863,2023-12-20 22:11:53 UTC,,,
0FFNEDPHC556HY7R0WZW0B1SG6,5.44,2699863,2023-12-20 22:12:00 UTC,,,
0FFNEDREPJGF3GMJX56XYFBKX4,6.06,2699863,2023-12-20 22:12:06 UTC,,,
0FFNEDTC8DWRJEMR992WH3X6P0,6.01,2699863,2023-12-20 22:12:12 UTC,,,
0FFNEDW9F7KZ3XZRA1857M069A,4.73,2699863,2023-12-20 22:12:19 UTC,,,
0FFNEDY6XE4K21DK0CWHKTJK4S,4.06,2699863,2023-12-20 22:12:25 UTC,,,
0FFNEE047N6YJ10JXG03A9M7S1,3.74,2699863,2023-12-20 22:12:31 UTC,,,
0FFNEE21KTEFTGNSY4P6QBDA4B,3.59,2699863,2023-12-20 22:12:37 UTC,,,
0FFNEE3Z2CWGG0KTC1J2751EVN,3.37,2699863,2023-12-20 22:12:44 UTC,,,
0FFNEE5WD610E9R8A3J5Q88ABW,3.17,2699863,2023-12-20 22:12:50 UTC,,,
0FFNEE7SS5KTTR86VF4SV6CPVH,3.05,2699863,2023-12-20 22:12:56 UTC,,,
0FFNEE9Q8HBE7MMGYWPF20BWJZ,2.95,2699863,2023-12-20 22:13:03 UTC,,,
0FFNEEBMN5RVJDQVB3NEHF4DDG,2.87,2699863,2023-12-20 22:13:09 UTC,,,
0FFNEEDJ04ERJHPKZWHPWG995S,2.79,2699863,2023-12-20 22:13:15 UTC,,,
0FFNEEFFGYBH8NS9WVNB3473SF,2.64,2699863,2023-12-20 22:13:21 UTC,,,
0FFNEEHCRBXXKCFPZPYSREGQS3,2.55,2699863,2023-12-20 22:13:28 UTC,,,
0FFNEEKA66ACPB12KQN67J98WQ,2.54,2699863,2023-12-20 22:13:34 UTC,,,
0FFNEEN7PRAG7ZZ4117BQXZY2P,2.51,2699863,2023-12-20 22:13:40 UTC,,,
0FFNEEQ4XVK321V9NNFZBVRCF0,2.48,2699863,2023-12-20 22:13:47 UTC,,,
0FFNEES2B4GWXVJEXYY9H7231F,2.47,2699863,2023-12-20 22:13:53 UTC,,,
0FFNEETZRB6C3AQGZR2Y8S0BD2,2.46,2699863,2023-12-20 22:13:59 UTC,,,
0FFNEEWXHHE48GN4AP1V4EYN1B,2.40,2699863,2023-12-20 22:14:06 UTC,,,
0FFNEEYTG1FSNKR49CPB15WDBE,2.31,2699863,2023-12-20 22:14:12 UTC,,,
0FFNEF0QXBFKZGYXT1B51X2KTR,2.28,2699863,2023-12-20 22:14:18 UTC,,,
0FFNEF2NBB136HFX16WMGKRCCE,2.21,2699863,2023-12-20 22:14:24 UTC,,,
0FFNEF4JQSSNT9P259B060SB8X,2.21,2699863,2023-12-20 22:14:31 UTC,,,
0FFNEF6G49H3D9081CHKE666EQ,2.21,2699863,2023-12-20 22:14:37 UTC,,,
0FFNEF8DDM8AWVKSWMD88KDNB1,2.19,2699863,2023-12-20 22:14:43 UTC,,,
0FFNEFAATBQYSSVC76C1KQRWAR,2.17,2699863,2023-12-20 22:14:49 UTC,,,
0FFNEFC86YS22DMMSDR38BQSHK,2.18,2699863,2023-12-20 22:14:56 UTC,,,
0FFNEFE5KGH07Z8K9RFECGR93Q,2.13,2699863,2023-12-20 22:15:02 UTC,,,
0FFNEFG31385F6HEFRCQFPM8PR,2.07,2699863,2023-12-20 22:15:08 UTC,,,
0FFNEFJ0DYPCMT6D074DJ0FEBJ,1.95,2699863,2023-12-20 22:15:15 UTC,,,
0FFNEFKXXR612PK0HTNM8J4B76,1.85,2699863,2023-12-20 22:15:21 UTC,,,
0FFNEFNV5JGMZ3B920KF44XCNZ,1.89,2699863,2023-12-20 22:15:27 UTC,,,
0FFNEFQRHR7QPE9YAVQZAG4H57,1.93,2699863,2023-12-20 22:15:33 UTC,,,
0FFNEFSP1EZSMEBS36QP1RFW3V,1.70,2699863,2023-12-20 22:15:40 UTC,,,
0FFNEFVKBS166EDVQ5MZB9QWZE,1.68,2699863,2023-12-20 22:15:46 UTC,,,
0FFNEFXGQ10F0CEG3FY8K2ZAT1,1.61,2699863,2023-12-20 22:15:52 UTC,,,
0FFNEFZE5G0F9HWRW93YSF2HQP,1.50,2699863,2023-12-20 22:15:59 UTC,,,
0FFNEG1BR09M42HTK8SSZ1YXHM,1.50,2699863,2023-12-20 22:16:05 UTC,,,
0FFNEG38Y5QGCHQF30DW5DFT8B,1.54,2699863,2023-12-20 22:16:11 UTC,,,
0FFNEG568SA16Y70CEFPNXZV38,1.44,2699863,2023-12-20 22:16:17 UTC,,,
0FFNEG73NVM415F2PX0AEXCVYS,1.36,2699863,2023-12-20 22:16:24 UTC,,,
0FFNEG911B5AF4G7ETR9YKZ2ZE,1.35,2699863,2023-12-20 22:16:30 UTC,,,
0FFNEGAYQ08RV2B6M0VT2CSFQT,1.45,2699863,2023-12-20 22:16:36 UTC,,,
0FFNEGCVTZPKQ8CMSP8MMPBMT2,1.46,2699863,2023-12-20 22:16:43 UTC,,,
0FFNEGESAE4DWXG0H6CGB917G9,1.43,2699863,2023-12-20 22:16:49 UTC,,,
0FFNEGGPKMYH6CEXSYNZJ1E8EX,1.39,2699863,2023-12-20 22:16:55 UTC,,,
