id,value,feed_id,Time Stemp,lat,lon,ele
0FFMK4KVZBNN20MK18DM04TKX1,169.28,2699033,2023-12-19 20:46:10 UTC,,,
0FFMK4NSFN026WVEFTEWG9ZKE0,298.32,2699033,2023-12-19 20:46:17 UTC,,,
0FFMK4QPRZ2QA23F6SKPSDQW1Z,297.14,2699033,2023-12-19 20:46:23 UTC,,,
0FFMK4SKZB9T2QS54MC00RVDRP,177.55,2699033,2023-12-19 20:46:29 UTC,,,
0FFMK4VHHDCHNRSWAN33H08F3S,198.21,2699033,2023-12-19 20:46:35 UTC,,,
0FFMK4XEV8W9N5ZB5TE9D21E8E,195.58,2699033,2023-12-19 20:46:42 UTC,,,
0FFMK4ZC3WS9G2GVETQX8V0WSP,148.72,2699033,2023-12-19 20:46:48 UTC,,,
0FFMK519JZRANWG5P8RKG1S2Y9,150.96,2699033,2023-12-19 20:46:54 UTC,,,
0FFMK536XYGM125ZWJ1DA32H6J,128.83,2699033,2023-12-19 20:47:01 UTC,,,
0FFMK5549JJ5S174Q7RMR6XR83,251.13,2699033,2023-12-19 20:47:07 UTC,,,
0FFMK571XFDQJ2Z9Z6ZFNJXVSM,350.27,2699033,2023-12-19 20:47:13 UTC,,,
0FFMK58Z7Z6SPM13AEREWPW12B,198.52,2699033,2023-12-19 20:47:19 UTC,,,
0FFMK5AWJNKRENW13WJ8YE0JB0,161.00,2699033,2023-12-19 20:47:26 UTC,,,
0FFMK5CSY6JX69GAMSC9EXCWAB,154.10,2699033,2023-12-19 20:47:32 UTC,,,
0FFMK5EQD8KGS9RGBJR5AX9T9V,182.03,2699033,2023-12-19 20:47:38 UTC,,,
0FFMK5GMW236RXJVPSKNQYG4YP,141.78,2699033,2023-12-19 20:47:45 UTC,,,
0FFMK5JJ41NQ27NN2ZNETDDWZD,138.37,2699033,2023-12-19 20:47:51 UTC,,,
0FFMK5MFGW9K0EH789V8S7DY0S,148.59,2699033,2023-12-19 20:47:57 UTC,,,
0FFMK5PCZV4Y6YCE5TWA6DC8RQ,117.34,2699033,2023-12-19 20:48:03 UTC,,,
0FFMK5RAFBFW9N7PR2WHFVT9AD,110.44,2699033,2023-12-19 20:48:10 UTC,,,
0FFMK5T7SNVQJ9FJ9TETM17J3Z,109.58,2699033,2023-12-19 20:48:16 UTC,,,
0FFMK5W51RZKC6DZCNESKAVCAA,110.73,2699033,2023-12-19 20:48:22 UTC,,,
0FFMK5Y2RGTC3PQAV9960CQPKH,108.88,2699033,2023-12-19 20:48:29 UTC,,,
0FFMK5ZZVHJ5SQC94SCHMPPRJQ,107.94,2699033,2023-12-19 20:48:35 UTC,,,
0FFMK61XC6449G8GY7QVXG9KK9,105.76,2699033,2023-12-19 20:48:41 UTC,,,
0FFMK63TMH9RXJV4ET6VYG1HQK,110.90,2699033,2023-12-19 20:48:47 UTC,,,
0FFMK65R823XJZFNH8CS6W5BS5,113.62,2699033,2023-12-19 20:48:54 UTC,,,
