si,pga,x,y,z,time,erdbeben
0,0,68.00,-150.00,-46.00,22816,0
0,0,-78.00,-74.00,-90.00,22840,0
0,0,-20.00,36.00,-154.00,22863,0
0,0,-20.00,110.00,234.00,22887,0
0,0,-10.00,-42.00,236.00,22910,0
0,0,36.00,-126.00,40.00,22934,0
0,0,-32.00,-116.00,80.00,22958,0
0,0,22.00,-4.00,66.00,22981,0
0,0,-94.00,86.00,54.00,23005,0
0,0,12.00,24.00,12.00,23028,0
0,0,-14.00,-166.00,30.00,23052,0
0,0,8.00,-64.00,36.00,23076,0
0,0,18.00,-14.00,4.00,23100,0
0,0,6.00,32.00,80.00,23123,0
0,0,-42.00,32.00,-40.00,23147,0
0,0,-54.00,-134.00,134.00,23170,0
0,0,18.00,-60.00,86.00,23214,0
0,0,14.00,30.00,22.00,23238,0
0,0,-36.00,78.00,126.00,23261,0
0,0,40.00,-46.00,-82.00,23285,0
0,0,-24.00,-160.00,46.00,23308,0
0,0,-68.00,-50.00,-6.00,23332,0
0,0,-14.00,-4.00,60.00,23356,0
0,0,14.00,16.00,-34.00,23380,0
0,0,16.00,-12.00,34.00,23403,0
0,0,4.00,-126.00,52.00,23427,0
0,0,-26.00,-72.00,54.00,23451,0
0,0,2.00,-2.00,-38.00,23474,0
0,0,-32.00,12.00,60.00,23498,0
0,0,-22.00,-22.00,30.00,23522,0
0,0,8.00,-124.00,28.00,23544,0
0,0,-18.00,-86.00,-18.00,23568,0
0,0,-28.00,12.00,40.00,23592,0
0,0,-8.00,22.00,66.00,23615,0
0,0,-30.00,0.00,28.00,23639,0
0,0,0.00,-56.00,-20.00,23663,0
0,0,0.00,-142.00,40.00,23687,0
0,0,-8.00,-48.00,36.00,23711,0
0,0,-12.00,-6.00,26.00,23734,0
0,0,-32.00,22.00,28.00,23758,0
0,0,-30.00,-24.00,54.00,23781,0
0,0,4.00,-94.00,28.00,23805,0
0,0,-14.00,-32.00,36.00,23829,0
0,0,10.00,-32.00,28.00,23853,0
0,0,18.00,-24.00,16.00,23876,0
0,0,-28.00,-40.00,52.00,23900,0
0,0,-24.00,-60.00,16.00,23924,0
0,0,-16.00,-74.00,24.00,23947,0
0,0,-36.00,14.00,20.00,23971,0
0,0,-32.00,2.00,50.00,23995,0
0,0,-8.00,-36.00,18.00,24018,0
0,0,0.00,-80.00,26.00,24042,0
0,0,-6.00,-64.00,18.00,24065,0
0,0,-22.00,-38.00,44.00,24089,0
0,0,8.00,-26.00,24.00,24112,0
0,0,-8.00,-40.00,32.00,24135,0
0,0,-30.00,-20.00,10.00,24159,0
0,0,-12.00,-62.00,20.00,24182,0
0,0,-8.00,-62.00,20.00,24205,0
0,0,-22.00,-16.00,18.00,24228,0
0,0,0.00,-32.00,6.00,24251,0
0,0,0.00,-58.00,34.00,24274,0
0,0,0.00,-68.00,12.00,24297,0
0,0,0.00,-34.00,32.00,24319,0
0,0,-30.00,-10.00,20.00,24342,0
0,0,-2.00,-32.00,28.00,24365,0
0,0,-24.00,-20.00,6.00,24388,0
0,0,-20.00,-50.00,18.00,24411,0
0,0,-2.00,-48.00,-2.00,24434,0
0,0,-16.00,-44.00,30.00,24457,0
0,0,-16.00,-8.00,16.00,24480,0
0,0,-2.00,-26.00,52.00,24503,0
0,0,-12.00,-34.00,28.00,24526,0
0,0,-6.00,-64.00,28.00,24550,0
0,0,-10.00,-36.00,30.00,24574,0
0,0,-20.00,-30.00,28.00,24598,0
0,0,-8.00,-42.00,32.00,24622,0
0,0,-14.00,-30.00,22.00,24645,0
0,0,-20.00,-48.00,24.00,24669,0
0,0,-2.00,-40.00,14.00,24692,0
0,0,-20.00,-34.00,36.00,24716,0
0,0,-4.00,-18.00,20.00,24740,0
0,0,-18.00,-60.00,18.00,24764,0
0,0,-18.00,-42.00,34.00,24788,0
0,0,-12.00,-36.00,14.00,24832,0
0,0,-8.00,-28.00,56.00,24856,0
0,0,4.00,-32.00,22.00,24880,0
0,0,-24.00,-46.00,36.00,24904,0
0,0,-10.00,-62.00,28.00,24928,0
0,0,-14.00,-44.00,16.00,24951,0
0,0,-6.00,-22.00,24.00,24975,0
0,0,-10.00,-36.00,32.00,24998,0
0,0,-6.00,-30.00,20.00,25022,0
0,0,-6.00,-34.00,28.00,25046,0
0,0,-14.00,-54.00,14.00,25070,0
0,0,-28.00,-24.00,24.00,25094,0
0,0,0.00,-54.00,10.00,25118,0
0,0,-6.00,-44.00,20.00,25143,0
0.00,0.00,-16.00,-46.00,30.00,25450,1
0.00,0.00,-4.00,-50.00,4.00,25516,1
0.00,0.00,6.00,-30.00,34.00,25581,1
0.00,0.00,-24.00,-52.00,-14.00,25647,1
0.00,0.00,-26.00,-36.00,36.00,25713,1
0.00,0.00,6.00,-44.00,32.00,25779,1
0.00,0.00,-10.00,-30.00,16.00,25845,1
0.00,0.00,-12.00,-34.00,16.00,25911,1
0.00,0.00,-8.00,-36.00,22.00,25977,1
0.00,0.00,2.00,-44.00,28.00,26063,1
0,0,-12.00,-34.00,24.00,26087,0
0,0,0.00,-38.00,40.00,26111,0
0,0,-6.00,-42.00,10.00,26134,0
0,0,-16.00,-50.00,18.00,26157,0
0,0,-16.00,-28.00,28.00,26180,0
0,0,-16.00,-44.00,20.00,26204,0
0,0,-14.00,-32.00,22.00,26228,0
0,0,-8.00,-44.00,6.00,26251,0
0,0,-2.00,-30.00,30.00,26275,0
0,0,-12.00,-32.00,24.00,26299,0
0,0,-6.00,-38.00,20.00,26323,0
0,0,0.00,-56.00,40.00,26347,0
0,0,-24.00,-38.00,8.00,26371,0
0,0,-18.00,-44.00,2.00,26395,0
0,0,-14.00,-44.00,24.00,26419,0
0,0,-16.00,-40.00,32.00,26443,0
0,0,-34.00,-38.00,42.00,26467,0
0,0,-8.00,-30.00,48.00,26490,0
0,0,-26.00,-38.00,20.00,26513,0
0,0,-4.00,-28.00,16.00,26537,0
0,0,-16.00,-38.00,20.00,26560,0
0,0,-12.00,-46.00,24.00,26584,0
0,0,-10.00,-42.00,18.00,26608,0
0,0,-28.00,-34.00,8.00,26631,0
0,0,-12.00,-42.00,30.00,26655,0
0,0,-10.00,-54.00,0.00,26678,0
0,0,2.00,-48.00,42.00,26702,0
0,0,-12.00,-50.00,24.00,26726,0
0,0,0.00,-34.00,8.00,26749,0
0,0,-8.00,-34.00,40.00,26772,0
0,0,-24.00,-34.00,20.00,26796,0
0,0,-6.00,-54.00,10.00,26820,0
0,0,-6.00,-48.00,6.00,26844,0
0,0,-12.00,-28.00,-4.00,26868,0
0,0,-12.00,-36.00,18.00,26892,0
0,0,-28.00,-40.00,28.00,26916,0
0,0,-16.00,-46.00,36.00,26940,0
0,0,-14.00,-36.00,30.00,26964,0
0,0,-30.00,-14.00,44.00,26988,0
0,0,-10.00,-42.00,26.00,27012,0
0,0,-10.00,-22.00,8.00,27036,0
0,0,-2.00,-40.00,-2.00,27059,0
0,0,-12.00,-20.00,30.00,27082,0
0,0,0.00,-40.00,30.00,27105,0
0,0,-6.00,-32.00,18.00,27128,0
0,0,-22.00,-32.00,20.00,27152,0
0,0,-2.00,-20.00,18.00,27176,0
0,0,-12.00,-28.00,16.00,27199,0
0,0,-12.00,-50.00,46.00,27223,0
0,0,-14.00,-24.00,32.00,27246,0
0,0,-20.00,-50.00,28.00,27270,0
0,0,-10.00,-22.00,20.00,27293,0
0,0,-2.00,-26.00,40.00,27317,0
0,0,-22.00,-14.00,20.00,27340,0
0,0,-8.00,-24.00,36.00,27364,0
0,0,-2.00,-38.00,26.00,27388,0
0,0,0.00,-50.00,28.00,27411,0
0,0,-12.00,-22.00,14.00,27434,0
0,0,4.00,-46.00,24.00,27457,0
0,0,-14.00,-38.00,34.00,27481,0
0,0,-24.00,-30.00,36.00,27505,0
0,0,-18.00,-52.00,34.00,27528,0
0,0,-28.00,-32.00,34.00,27552,0
0,0,-6.00,-26.00,30.00,27574,0
0,0,-14.00,-40.00,26.00,27599,0
0,0,-42.00,-46.00,24.00,27622,0
0,0,-2.00,-46.00,16.00,27645,0
0,0,-16.00,-48.00,28.00,27669,0
0,0,2.00,-42.00,34.00,27693,0
0,0,-18.00,-30.00,24.00,27716,0
0,0,-14.00,-28.00,34.00,27740,0
0,0,-8.00,-48.00,12.00,27764,0
0,0,-4.00,-50.00,32.00,27788,0
0,0,-10.00,-46.00,18.00,27812,0
0,0,-14.00,-40.00,18.00,27836,0
0,0,-20.00,-48.00,2.00,27860,0
0,0,-18.00,-44.00,12.00,27884,0
0,0,-6.00,-38.00,14.00,27908,0
0,0,-2.00,-30.00,34.00,27932,0
0,0,-6.00,-38.00,24.00,27955,0
0,0,-6.00,-34.00,12.00,27979,0
0,0,-12.00,-18.00,24.00,28002,0
0,0,2.00,-46.00,14.00,28025,0
0,0,0.00,-42.00,44.00,28049,0
0,0,-22.00,-34.00,30.00,28072,0
0,0,-2.00,-38.00,12.00,28095,0
0,0,-18.00,-38.00,26.00,28118,0
0,0,4.00,-44.00,28.00,28142,0
0,0,-12.00,-20.00,24.00,28165,0
0,0,-20.00,-46.00,8.00,28188,0
0,0,-16.00,-48.00,18.00,28212,0
0,0,-4.00,-54.00,22.00,28235,0
0,0,-16.00,-46.00,14.00,28258,0
0,0,-6.00,-48.00,22.00,28282,0
0,0,-12.00,-32.00,30.00,28305,0
0,0,6.00,-38.00,26.00,28329,0
0,0,-4.00,-30.00,6.00,28352,0
0,0,-28.00,-42.00,18.00,28376,0
0,0,6.00,-32.00,10.00,28399,0
0,0,-2.00,-42.00,36.00,28423,0
0,0,-2.00,-48.00,22.00,28447,0
0,0,-16.00,-40.00,0.00,28471,0
0,0,-6.00,-28.00,8.00,28494,0
0,0,-12.00,-26.00,38.00,28518,0
0,0,-12.00,-26.00,26.00,28542,0
0,0,-10.00,-44.00,8.00,28566,0
0,0,-2.00,-32.00,36.00,28590,0
0,0,-10.00,-64.00,32.00,28614,0
